描述类别,店家数量
餐饮-正餐,124803
餐饮-茶饮咖啡甜品,30922
餐饮-火锅烧烤,23884
不确定,21162
酒店/住宿,9053
购物零售,8459
景点/公园/公共场所,5238
生活服务,5217
休闲娱乐,4645
超市/便利店,4353
酒吧/夜生活,3419
教育培训/驾校,1093
电商平台/线上零售,657
市场/花鸟市场,342
